OBJECTID,point,X,Y
847,1,114.1425913,30.39532519
848,1,114.1425906,30.39532449
849,1,114.1425899,30.39532379
850,1,114.1425891,30.39532309
851,1,114.1425884,30.39532239
852,1,114.1425877,30.39532169
853,1,114.142587,30.395321
854,1,114.1425863,30.3953203
855,1,114.1425856,30.3953196
856,1,114.1425848,30.3953189
857,1,114.1425841,30.3953182
858,1,114.1425834,30.3953175
859,1,114.1425827,30.3953168
860,1,114.142582,30.39531611
861,1,114.1425813,30.39531541
862,1,114.1425805,30.39531471
863,1,114.1425798,30.39531401
864,1,114.1425791,30.39531331
865,1,114.1425784,30.39531261
866,1,114.1425777,30.39531192
867,1,114.142577,30.39531122
868,1,114.1425763,30.39531052
869,1,114.1425755,30.39530982
870,1,114.1425748,30.39530912
871,1,114.1425741,30.39530842
872,1,114.1425734,30.39530772
873,1,114.1425727,30.39530703
874,1,114.142572,30.39530633
875,1,114.1425712,30.39530563
876,1,114.1425705,30.39530493
877,1,114.1425698,30.39530423
878,1,114.1425691,30.39530353
879,1,114.1425684,30.39530284
880,1,114.1425677,30.39530214
881,1,114.142567,30.39530144
882,1,114.1425662,30.39530074
883,1,114.1425655,30.39530004
884,1,114.1425648,30.39529934
885,1,114.1425641,30.39529865
886,1,114.1425634,30.39529795
887,1,114.1425627,30.39529725
888,1,114.1425619,30.39529655
889,1,114.1425612,30.39529585
890,1,114.1425605,30.39529515
891,1,114.1425598,30.39529445
892,1,114.1425591,30.39529376
893,1,114.1425584,30.39529306
894,1,114.1425576,30.39529236
895,1,114.1425569,30.39529166
896,1,114.1425562,30.39529096
897,1,114.1425555,30.39529026
898,1,114.1425548,30.39528957
899,1,114.1425541,30.39528887
900,1,114.1425534,30.39528817
901,1,114.1425526,30.39528747
902,1,114.1425519,30.39528677
903,1,114.1425512,30.39528607
904,1,114.1425505,30.39528537
905,1,114.1425498,30.39528468
906,1,114.1425491,30.39528398
907,1,114.1425483,30.39528328
908,1,114.1425476,30.39528258
909,1,114.1425469,30.39528188
910,1,114.1425462,30.39528118
911,1,114.1425455,30.39528049
912,1,114.1425448,30.39527979
913,1,114.142544,30.39527909
914,1,114.1425433,30.39527839
915,1,114.1425426,30.39527769
916,1,114.1425419,30.39527699
917,1,114.1425412,30.3952763
918,1,114.1425405,30.3952756
919,1,114.1425398,30.3952749
920,1,114.142539,30.3952742
921,1,114.1425383,30.3952735
922,1,114.1425376,30.3952728
923,1,114.1425369,30.3952721
924,1,114.1425362,30.39527141
925,1,114.1425355,30.39527071
926,1,114.1425347,30.39527001
927,1,114.142534,30.39526931
928,1,114.1425333,30.39526861
929,1,114.1425326,30.39526791
930,1,114.1425319,30.39526722
931,1,114.1425312,30.39526652
932,1,114.1425305,30.39526582
933,1,114.1425297,30.39526512
934,1,114.142529,30.39526442
935,1,114.1425283,30.39526372
936,1,114.1425276,30.39526302
937,1,114.1425269,30.39526233
938,1,114.1425262,30.39526163
939,1,114.1425254,30.39526093
940,1,114.1425247,30.39526023
941,1,114.142524,30.39525953
942,1,114.1425233,30.39525883
943,1,114.1425226,30.39525814
944,1,114.1425219,30.39525744
945,1,114.1425211,30.39525674
946,1,114.1425204,30.39525604
947,1,114.1425197,30.39525534
948,1,114.142519,30.39525464
